,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.07424126390833319,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.08814726530528372,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.11757262459159623,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.1169866425730337,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.11492875454295959,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.12063542708607855,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.07305052719862992,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.10455285261026859,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.03562983932634811,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.07216180456425736,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.06784407896060607,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.0956084276240281,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.11186250522697794,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.10279712489720971,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.06768314304474199,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.10573930221173633,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.01955447566519819,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.0374839762098258,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.07748713107397265,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.11141972163476588,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.0944265966108313,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.08924390897311074,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.07438581550243661,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.1083384471303539,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.006725678372411892,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.03396595373214062,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.04448355591508868,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.06870532473579338,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.09687369745533392,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.09036652299414438,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.07067811037388871,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.0984062230945959,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.012218818509992957,2,2,21,Short,Short
33,Volatility (3 days),Volatility (2 days),Next 21 days,0.006351903797735758,3,2,21,Short,Short
34,Volatility (5 days),Volatility (2 days),Next 21 days,0.04691265702996983,5,2,21,Short,Short
35,Volatility (10 days),Volatility (2 days),Next 21 days,0.05513973884039025,10,2,21,Short,Short
36,Volatility (21 days),Volatility (2 days),Next 21 days,0.07451914680314164,21,2,21,Long,Short
37,Volatility (63 days),Volatility (2 days),Next 21 days,0.09893774034969205,63,2,21,Long,Short
38,Volatility (126 days),Volatility (2 days),Next 21 days,0.08601757916425967,126,2,21,Long,Short
39,Volatility (252 days),Volatility (2 days),Next 21 days,0.11882612980088858,252,2,21,Long,Short
40,Volatility (2 days),Volatility (2 days),Next 63 days,0.01701384900915226,2,2,63,Short,Short
41,Volatility (3 days),Volatility (2 days),Next 63 days,0.029891234273894618,3,2,63,Short,Short
42,Volatility (5 days),Volatility (2 days),Next 63 days,0.039206657821915236,5,2,63,Short,Short
43,Volatility (10 days),Volatility (2 days),Next 63 days,0.07381544849355315,10,2,63,Short,Short
44,Volatility (21 days),Volatility (2 days),Next 63 days,0.05752597877327226,21,2,63,Long,Short
