,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.10831875347623132,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.09662650705573395,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.11643403635559046,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.12270530792803402,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.1050971054119314,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.07018646685789243,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.04043901424301399,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.04280204842816904,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.016605550052011253,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.04061853845837682,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.04158735026803484,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.07569958122194098,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.05891457295274005,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.05296284660401529,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.04004523276212879,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.040099720023628826,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.0,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.03835412041504771,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.06676588558623386,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.05342061329789782,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.06984546381261669,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.03347233650222847,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.039790552862347894,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.037226451760194124,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.008453422326762272,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.0,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.027565673795593604,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.03310113613989607,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.050628286036563,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.06593855949203853,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.05765912148996666,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.01682848972547113,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.0,2,2,21,Short,Short
33,Volatility (3 days),Volatility (2 days),Next 21 days,0.03682207099364554,3,2,21,Short,Short
34,Volatility (5 days),Volatility (2 days),Next 21 days,0.0,5,2,21,Short,Short
35,Volatility (10 days),Volatility (2 days),Next 21 days,0.04246926844979981,10,2,21,Short,Short
36,Volatility (21 days),Volatility (2 days),Next 21 days,0.04993128770879096,21,2,21,Long,Short
37,Volatility (63 days),Volatility (2 days),Next 21 days,0.026707301936082395,63,2,21,Long,Short
38,Volatility (126 days),Volatility (2 days),Next 21 days,0.03192007231142924,126,2,21,Long,Short
39,Volatility (252 days),Volatility (2 days),Next 21 days,0.04995173551257981,252,2,21,Long,Short
40,Volatility (2 days),Volatility (2 days),Next 63 days,0.012879063016731251,2,2,63,Short,Short
41,Volatility (3 days),Volatility (2 days),Next 63 days,0.0,3,2,63,Short,Short
42,Volatility (5 days),Volatility (2 days),Next 63 days,0.00090150707386627,5,2,63,Short,Short
43,Volatility (10 days),Volatility (2 days),Next 63 days,0.015422060187283648,10,2,63,Short,Short
44,Volatility (21 days),Volatility (2 days),Next 63 days,0.021259102783597328,21,2,63,Long,Short
45,Volatility (63 days),Volatility (2 days),Next 63 days,0.036086111165940515,63,2,63,Long,Short
46,Volatility (126 days),Volatility (2 days),Next 63 days,0.027792662975957505,126,2,63,Long,Short
47,Volatility (252 days),Volatility (2 days),Next 63 days,0.026289341580381986,252,2,63,Long,Short
48,Volatility (2 days),Volatility (2 days),Next 126 days,0.015403933963702876,2,2,126,Short,Short
49,Volatility (3 days),Volatility (2 days),Next 126 days,0.02544763208959111,3,2,126,Short,Short
50,Volatility (5 days),Volatility (2 days),Next 126 days,0.00828478364864349,5,2,126,Short,Short
51,Volatility (10 days),Volatility (2 days),Next 126 days,0.023065170646773048,10,2,126,Short,Short
52,Volatility (21 days),Volatility (2 days),Next 126 days,0.034047061618232455,21,2,126,Long,Short
53,Volatility (63 days),Volatility (2 days),Next 126 days,0.038413146366520934,63,2,126,Long,Short
54,Volatility (126 days),Volatility (2 days),Next 126 days,0.017482888120189166,126,2,126,Long,Short
55,Volatility (252 days),Volatility (2 days),Next 126 days,0.019635297895612247,252,2,126,Long,Short
56,Volatility (2 days),Volatility (3 days),Next 1 days,1.753070448611643,2,3,1,Short,Short
