,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.08364150925063463,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.10361055443806144,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.12275796569509367,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.11569984903579744,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.11159762454152755,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.08503757142711699,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.09603123341905828,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.08063856270440439,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.03542274188333128,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.03851633757883732,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.0537248935812249,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.09271659126481602,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.09423927144089461,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.0933590164917204,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.08634180182308082,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.07621836906875323,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.0295160104558283,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.02514672458760625,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.05234174482719656,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.0419823972031832,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.08275989980497123,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.09412104971868196,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.1086797671787334,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.10186049038480327,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.03530345142317959,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.051799996942651916,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.044971941456737774,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.0663717267609254,10,2,10,Short,Short
