,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.07489466222305818,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.0759068635636968,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.0873072080371795,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.09268158038564867,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.06814527660164416,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.06666725088491532,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.05859125368905449,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.026937830524175865,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.00015953814565516922,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.03128426135068274,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.06406536711048894,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.05101323462776186,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.04957379541695062,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.05086769272137648,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.04604931798064715,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.028322797758218776,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.011498662319270991,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.028482013085075586,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.04865364026931562,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.0337368786849348,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.034571359281462044,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.06801360604379258,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.025818658243708548,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.018920288324514978,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.02131392337192395,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.021536865140801886,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.017991723689898542,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.0436444028523324,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.049527728053256226,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.03680287572920893,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.03479874365144742,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.043566081898609,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.0,2,2,21,Short,Short
33,Volatility (3 days),Volatility (2 days),Next 21 days,0.011915250271505862,3,2,21,Short,Short
34,Volatility (5 days),Volatility (2 days),Next 21 days,0.01917135007990467,5,2,21,Short,Short
35,Volatility (10 days),Volatility (2 days),Next 21 days,0.04354670360169255,10,2,21,Short,Short
36,Volatility (21 days),Volatility (2 days),Next 21 days,0.0616060379735579,21,2,21,Long,Short
37,Volatility (63 days),Volatility (2 days),Next 21 days,0.01890480121755722,63,2,21,Long,Short
38,Volatility (126 days),Volatility (2 days),Next 21 days,0.03616825239561372,126,2,21,Long,Short
39,Volatility (252 days),Volatility (2 days),Next 21 days,0.03321210368017091,252,2,21,Long,Short
40,Volatility (2 days),Volatility (2 days),Next 63 days,0.010438026987995563,2,2,63,Short,Short
41,Volatility (3 days),Volatility (2 days),Next 63 days,0.006275593647550259,3,2,63,Short,Short
42,Volatility (5 days),Volatility (2 days),Next 63 days,0.025001064119281047,5,2,63,Short,Short
43,Volatility (10 days),Volatility (2 days),Next 63 days,0.014199997145328602,10,2,63,Short,Short
44,Volatility (21 days),Volatility (2 days),Next 63 days,0.04948749614126413,21,2,63,Long,Short
45,Volatility (63 days),Volatility (2 days),Next 63 days,0.0124021127171563,63,2,63,Long,Short
46,Volatility (126 days),Volatility (2 days),Next 63 days,0.033774684932123655,126,2,63,Long,Short
47,Volatility (252 days),Volatility (2 days),Next 63 days,0.056380681362496965,252,2,63,Long,Short
48,Volatility (2 days),Volatility (2 days),Next 126 days,0.0,2,2,126,Short,Short
49,Volatility (3 days),Volatility (2 days),Next 126 days,0.004584426930065888,3,2,126,Short,Short
50,Volatility (5 days),Volatility (2 days),Next 126 days,0.013976524027607518,5,2,126,Short,Short
51,Volatility (10 days),Volatility (2 days),Next 126 days,0.0,10,2,126,Short,Short
52,Volatility (21 days),Volatility (2 days),Next 126 days,0.0261876733369375,21,2,126,Long,Short
53,Volatility (63 days),Volatility (2 days),Next 126 days,0.038836538881474425,63,2,126,Long,Short
54,Volatility (126 days),Volatility (2 days),Next 126 days,0.0272772010037432,126,2,126,Long,Short
55,Volatility (252 days),Volatility (2 days),Next 126 days,0.0029382201018499643,252,2,126,Long,Short
56,Volatility (2 days),Volatility (3 days),Next 1 days,1.8826109299471776,2,3,1,Short,Short
57,Volatility (3 days),Volatility (3 days),Next 1 days,0.760898542414008,3,3,1,Short,Short
58,Volatility (5 days),Volatility (3 days),Next 1 days,0.26513944409548884,5,3,1,Short,Short
59,Volatility (10 days),Volatility (3 days),Next 1 days,0.27279464199810644,10,3,1,Short,Short
60,Volatility (21 days),Volatility (3 days),Next 1 days,0.28439780183130114,21,3,1,Long,Short
61,Volatility (63 days),Volatility (3 days),Next 1 days,0.27673660380190235,63,3,1,Long,Short
62,Volatility (126 days),Volatility (3 days),Next 1 days,0.25040368363826637,126,3,1,Long,Short
63,Volatility (252 days),Volatility (3 days),Next 1 days,0.21187169891589175,252,3,1,Long,Short
64,Volatility (2 days),Volatility (3 days),Next 3 days,0.05228832863870636,2,3,3,Short,Short
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.07626258897958405,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.10646178858806099,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.1945515860117526,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.26476153500992616,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.27012990944912474,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.2516349020423192,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.21322011463386037,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.04111288756393261,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.08951044083501358,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.10520520897894858,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.1682302515796632,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.21043846615468542,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.25631528971904594,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.2344373858027584,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.2111714852852664,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.01626116552685808,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.07798974402899894,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.10065019433313704,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.16145840094430053,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.1922665527540932,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.24719146716081575,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.2266987818470012,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.2324311411899016,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.02198787591827589,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.047250339550760856,3,3,21,Short,Short
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.0721883889166186,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.1361964544648524,10,3,21,Short,Short
92,Volatility (21 days),Volatility (3 days),Next 21 days,0.22996179317993892,21,3,21,Long,Short
93,Volatility (63 days),Volatility (3 days),Next 21 days,0.19964607655950584,63,3,21,Long,Short
94,Volatility (126 days),Volatility (3 days),Next 21 days,0.23047630860026036,126,3,21,Long,Short
95,Volatility (252 days),Volatility (3 days),Next 21 days,0.20610957900795146,252,3,21,Long,Short
96,Volatility (2 days),Volatility (3 days),Next 63 days,0.0,2,3,63,Short,Short
97,Volatility (3 days),Volatility (3 days),Next 63 days,0.035255111979457965,3,3,63,Short,Short
98,Volatility (5 days),Volatility (3 days),Next 63 days,0.04253955807180798,5,3,63,Short,Short
99,Volatility (10 days),Volatility (3 days),Next 63 days,0.08600813192982404,10,3,63,Short,Short
100,Volatility (21 days),Volatility (3 days),Next 63 days,0.19718296719909745,21,3,63,Long,Short
101,Volatility (63 days),Volatility (3 days),Next 63 days,0.16553377063006458,63,3,63,Long,Short
102,Volatility (126 days),Volatility (3 days),Next 63 days,0.23801272144998187,126,3,63,Long,Short
103,Volatility (252 days),Volatility (3 days),Next 63 days,0.21884015212845398,252,3,63,Long,Short
104,Volatility (2 days),Volatility (3 days),Next 126 days,0.026889363992863125,2,3,126,Short,Short
105,Volatility (3 days),Volatility (3 days),Next 126 days,0.035320654178335076,3,3,126,Short,Short
106,Volatility (5 days),Volatility (3 days),Next 126 days,0.06852959832399463,5,3,126,Short,Short
