,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.05415848330253503,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.07197328600051822,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.08498141895470734,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.07892275155410022,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.07408812779431972,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.05986396769142566,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.06107437042471009,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.08714526205367878,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.027751188930006165,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.020502390094599754,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.02646060741637335,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.04978135328283084,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.06908649813077616,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.08300363819011203,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.05691895834880434,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.07065908009392885,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.0,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.022217033460602664,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.04193450778723218,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.0680916445257882,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.07523141427835256,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.06312383415330203,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.0604352038494369,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.06358390483092524,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.020136782075936388,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.02121532481591082,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.034025542494774186,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.043319129544054036,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.054582438621189944,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.048957673400468416,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.05051181032956098,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.05065151399088208,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.0,2,2,21,Short,Short
