,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.047460961836322646,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.062313195707615066,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.0576595997439977,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.09237579729455003,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.07686715222087681,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.07050177492179799,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.04586857671352984,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.048116023649598105,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.005843599415506162,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.021025035564408157,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.018095619308494904,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.05102959716136457,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.057836398498514185,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.07567323561123729,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.050884835152489316,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.056456373002676585,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.0070445832957029,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.015765680032811424,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.020252681304721243,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.042038643685446075,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.058178959585936774,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.07027223118545933,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.036652323421783706,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.04574643877478746,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.009812811413652867,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.027943837948592787,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.04193223239300181,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.04544526655788328,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.03929493692978614,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.06577172712438362,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.05387385732850358,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.042315627850143755,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.01553740301675699,2,2,21,Short,Short
33,Volatility (3 days),Volatility (2 days),Next 21 days,0.02145623336073399,3,2,21,Short,Short
34,Volatility (5 days),Volatility (2 days),Next 21 days,0.028194554195171584,5,2,21,Short,Short
35,Volatility (10 days),Volatility (2 days),Next 21 days,0.03913249512012218,10,2,21,Short,Short
36,Volatility (21 days),Volatility (2 days),Next 21 days,0.04324188044132349,21,2,21,Long,Short
37,Volatility (63 days),Volatility (2 days),Next 21 days,0.05511579346252837,63,2,21,Long,Short
38,Volatility (126 days),Volatility (2 days),Next 21 days,0.052561217249227354,126,2,21,Long,Short
39,Volatility (252 days),Volatility (2 days),Next 21 days,0.04556609103775067,252,2,21,Long,Short
