,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.08777383725949672,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.1529652732454876,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.1875896547715401,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.18116596348611136,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.13997057532324675,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.09557368006520583,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.07593681570680388,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.06673327623986136,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.05366700917383582,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.06342677548805487,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.10162987496799225,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.12403898271074976,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.1073384057708191,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.09407375397111561,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.10355545288771939,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.059556589607814736,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.055704677219197585,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.09025626347269444,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.09489949341670112,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.11353455763764053,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.08973390624587907,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.09627512977893282,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.08711300500974772,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.06281177220819867,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.020608036508189542,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.056800050053133155,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.06754456713499568,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.08050190304644733,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.08098979872161394,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.09106182505827132,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.08478458030365044,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.0633834121124579,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.027569634357335282,2,2,21,Short,Short
33,Volatility (3 days),Volatility (2 days),Next 21 days,0.024982796893670667,3,2,21,Short,Short
34,Volatility (5 days),Volatility (2 days),Next 21 days,0.0504450193917334,5,2,21,Short,Short
35,Volatility (10 days),Volatility (2 days),Next 21 days,0.07082158979314457,10,2,21,Short,Short
36,Volatility (21 days),Volatility (2 days),Next 21 days,0.06839914357054866,21,2,21,Long,Short
37,Volatility (63 days),Volatility (2 days),Next 21 days,0.05844021439088287,63,2,21,Long,Short
38,Volatility (126 days),Volatility (2 days),Next 21 days,0.08179030767600892,126,2,21,Long,Short
39,Volatility (252 days),Volatility (2 days),Next 21 days,0.051863803998156044,252,2,21,Long,Short
40,Volatility (2 days),Volatility (2 days),Next 63 days,0.021924872435218568,2,2,63,Short,Short
41,Volatility (3 days),Volatility (2 days),Next 63 days,0.023730155204571446,3,2,63,Short,Short
42,Volatility (5 days),Volatility (2 days),Next 63 days,0.010536782176441939,5,2,63,Short,Short
43,Volatility (10 days),Volatility (2 days),Next 63 days,0.02415202977132136,10,2,63,Short,Short
44,Volatility (21 days),Volatility (2 days),Next 63 days,0.03216901214793122,21,2,63,Long,Short
45,Volatility (63 days),Volatility (2 days),Next 63 days,0.042727571929003005,63,2,63,Long,Short
46,Volatility (126 days),Volatility (2 days),Next 63 days,0.047020083883510644,126,2,63,Long,Short
47,Volatility (252 days),Volatility (2 days),Next 63 days,0.039667830729914755,252,2,63,Long,Short
48,Volatility (2 days),Volatility (2 days),Next 126 days,0.0,2,2,126,Short,Short
49,Volatility (3 days),Volatility (2 days),Next 126 days,0.0,3,2,126,Short,Short
50,Volatility (5 days),Volatility (2 days),Next 126 days,0.010631643629078091,5,2,126,Short,Short
51,Volatility (10 days),Volatility (2 days),Next 126 days,0.0021579837054481743,10,2,126,Short,Short
52,Volatility (21 days),Volatility (2 days),Next 126 days,0.023739752859360586,21,2,126,Long,Short
53,Volatility (63 days),Volatility (2 days),Next 126 days,0.022840284004583822,63,2,126,Long,Short
54,Volatility (126 days),Volatility (2 days),Next 126 days,0.043697105123649216,126,2,126,Long,Short
55,Volatility (252 days),Volatility (2 days),Next 126 days,0.04627610387297576,252,2,126,Long,Short
56,Volatility (2 days),Volatility (3 days),Next 1 days,1.9383678828139437,2,3,1,Short,Short
57,Volatility (3 days),Volatility (3 days),Next 1 days,0.8531307885265225,3,3,1,Short,Short
58,Volatility (5 days),Volatility (3 days),Next 1 days,0.41139650630112623,5,3,1,Short,Short
59,Volatility (10 days),Volatility (3 days),Next 1 days,0.39869343576286553,10,3,1,Short,Short
60,Volatility (21 days),Volatility (3 days),Next 1 days,0.35490906076143336,21,3,1,Long,Short
61,Volatility (63 days),Volatility (3 days),Next 1 days,0.31320540194939284,63,3,1,Long,Short
62,Volatility (126 days),Volatility (3 days),Next 1 days,0.3006121140799962,126,3,1,Long,Short
63,Volatility (252 days),Volatility (3 days),Next 1 days,0.25260358650090886,252,3,1,Long,Short
64,Volatility (2 days),Volatility (3 days),Next 3 days,0.0795976684059232,2,3,3,Short,Short
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.1804983997267673,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.2060852600673,5,3,3,Short,Short
