,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.11643228778002523,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.13960737170371207,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.16217645713645545,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.1665216946311343,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.12138783294091837,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.0699070770962722,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.07932815402489268,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.08172353291331724,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.04695291658870726,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.05981394335696155,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.09284284475606253,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.09849689075691082,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.09283676378239569,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.06425524060249721,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.09883792165416061,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.06636264818361504,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.04211408189481869,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.06741858665882106,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.08460857342031769,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.08963700495244886,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.09915955155248213,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.06010556987451565,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.09391661333517387,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.061332078462835504,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.026513722317257127,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.055680033244490446,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.0740696440809474,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.07216349980680814,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.08210378228578641,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.06574887953244701,63,2,10,Long,Short
