,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.061860450593930416,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.09148431014935632,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.12886787477489126,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.13089979754756165,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.10470862500127076,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.0836926064530088,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.06290824145162333,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.04824615107761776,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.029221905358688183,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.05653819217831568,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.06531613246137091,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.08827303810723741,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.06624918214753439,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.05810206885910141,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.05930733129261512,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.04609696732124746,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.03131814787902165,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.05727210575733199,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.039109728635798646,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.05216479872669044,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.06322387430992737,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.05673930439331354,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.04714921289871654,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.05431036386971044,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.023113121951422677,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.02882964198223892,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.03998133935107706,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.062038455847430285,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.063350046176045,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.06135376157997108,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.047570070598456304,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.03254981544500435,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.009931260050470847,2,2,21,Short,Short
33,Volatility (3 days),Volatility (2 days),Next 21 days,0.024726107745331127,3,2,21,Short,Short
34,Volatility (5 days),Volatility (2 days),Next 21 days,0.03493709888899321,5,2,21,Short,Short
35,Volatility (10 days),Volatility (2 days),Next 21 days,0.035727360802392916,10,2,21,Short,Short
36,Volatility (21 days),Volatility (2 days),Next 21 days,0.037377991748599904,21,2,21,Long,Short
37,Volatility (63 days),Volatility (2 days),Next 21 days,0.06920100679507968,63,2,21,Long,Short
38,Volatility (126 days),Volatility (2 days),Next 21 days,0.058228223293682824,126,2,21,Long,Short
39,Volatility (252 days),Volatility (2 days),Next 21 days,0.03730375826424659,252,2,21,Long,Short
40,Volatility (2 days),Volatility (2 days),Next 63 days,0.009460101531324483,2,2,63,Short,Short
41,Volatility (3 days),Volatility (2 days),Next 63 days,0.01416277667819088,3,2,63,Short,Short
42,Volatility (5 days),Volatility (2 days),Next 63 days,0.02912796539079654,5,2,63,Short,Short
43,Volatility (10 days),Volatility (2 days),Next 63 days,0.013098075833981149,10,2,63,Short,Short
44,Volatility (21 days),Volatility (2 days),Next 63 days,0.022963314962947123,21,2,63,Long,Short
45,Volatility (63 days),Volatility (2 days),Next 63 days,0.03841873144339569,63,2,63,Long,Short
46,Volatility (126 days),Volatility (2 days),Next 63 days,0.05194397381696003,126,2,63,Long,Short
47,Volatility (252 days),Volatility (2 days),Next 63 days,0.033240252687631866,252,2,63,Long,Short
48,Volatility (2 days),Volatility (2 days),Next 126 days,0.00041924387495662074,2,2,126,Short,Short
49,Volatility (3 days),Volatility (2 days),Next 126 days,0.0,3,2,126,Short,Short
50,Volatility (5 days),Volatility (2 days),Next 126 days,0.02115778783537614,5,2,126,Short,Short
51,Volatility (10 days),Volatility (2 days),Next 126 days,0.018699866431553858,10,2,126,Short,Short
52,Volatility (21 days),Volatility (2 days),Next 126 days,0.017312387165794085,21,2,126,Long,Short
53,Volatility (63 days),Volatility (2 days),Next 126 days,0.01490195498216984,63,2,126,Long,Short
54,Volatility (126 days),Volatility (2 days),Next 126 days,0.02715386584074775,126,2,126,Long,Short
55,Volatility (252 days),Volatility (2 days),Next 126 days,0.04347972223943852,252,2,126,Long,Short
56,Volatility (2 days),Volatility (3 days),Next 1 days,1.899909933695909,2,3,1,Short,Short
57,Volatility (3 days),Volatility (3 days),Next 1 days,0.7547273365582141,3,3,1,Short,Short
58,Volatility (5 days),Volatility (3 days),Next 1 days,0.31389507856141297,5,3,1,Short,Short
59,Volatility (10 days),Volatility (3 days),Next 1 days,0.3118417524571768,10,3,1,Short,Short
60,Volatility (21 days),Volatility (3 days),Next 1 days,0.30767409629649034,21,3,1,Long,Short
61,Volatility (63 days),Volatility (3 days),Next 1 days,0.255295345370107,63,3,1,Long,Short
62,Volatility (126 days),Volatility (3 days),Next 1 days,0.259845451407708,126,3,1,Long,Short
63,Volatility (252 days),Volatility (3 days),Next 1 days,0.25180788675324006,252,3,1,Long,Short
64,Volatility (2 days),Volatility (3 days),Next 3 days,0.051451371471458174,2,3,3,Short,Short
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.13278878208802958,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.14212089933564087,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.23880700477341055,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.2615260218877191,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.2623489978901956,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.26182364939560454,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.25710388196348877,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.04647850849989865,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.08595531508337384,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.10725307092636616,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.20593994087863354,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.2257257619992199,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.23517286427774842,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.23685702999682423,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.23568035175762336,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.030196235482403466,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.06726136582430264,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.11447712623779349,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.16015006991584624,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.21747216856631635,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.2345510752721225,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.23117239378131949,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.21517780808335463,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.035942906884576686,2,3,21,Short,Short
