,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.0630455210165195,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.10441192651524922,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.11278347324218885,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.12097052144554965,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.09723182107340556,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.07759913226019144,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.06962321297435459,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.035763837051665526,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.022910555438393487,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.038270458130332585,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.07707085384020385,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.0843950717855364,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.0761545028238908,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.07460744572052391,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.06886608551294593,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.043238986467512674,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.027126954387935776,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.051763051834821106,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.06955771354847773,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.06589167388889283,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.07345232000860324,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.073455401269098,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.06864079968201331,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.051766216072889115,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.03208378646590582,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.028082611842075167,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.03152632695004609,5,2,10,Short,Short
27,Volatility (10 days),Volatility (2 days),Next 10 days,0.05742126511116119,10,2,10,Short,Short
28,Volatility (21 days),Volatility (2 days),Next 10 days,0.053726280867505416,21,2,10,Long,Short
29,Volatility (63 days),Volatility (2 days),Next 10 days,0.05464074632164895,63,2,10,Long,Short
30,Volatility (126 days),Volatility (2 days),Next 10 days,0.06897691591341548,126,2,10,Long,Short
31,Volatility (252 days),Volatility (2 days),Next 10 days,0.040596072640289194,252,2,10,Long,Short
32,Volatility (2 days),Volatility (2 days),Next 21 days,0.012154189659823622,2,2,21,Short,Short
33,Volatility (3 days),Volatility (2 days),Next 21 days,0.03817142172983168,3,2,21,Short,Short
34,Volatility (5 days),Volatility (2 days),Next 21 days,0.0464937731795505,5,2,21,Short,Short
35,Volatility (10 days),Volatility (2 days),Next 21 days,0.045642631545956824,10,2,21,Short,Short
36,Volatility (21 days),Volatility (2 days),Next 21 days,0.059394321425843444,21,2,21,Long,Short
37,Volatility (63 days),Volatility (2 days),Next 21 days,0.0415160248712203,63,2,21,Long,Short
38,Volatility (126 days),Volatility (2 days),Next 21 days,0.04752129832306995,126,2,21,Long,Short
39,Volatility (252 days),Volatility (2 days),Next 21 days,0.030502551187161053,252,2,21,Long,Short
40,Volatility (2 days),Volatility (2 days),Next 63 days,0.005828876047464959,2,2,63,Short,Short
41,Volatility (3 days),Volatility (2 days),Next 63 days,0.0015749575652321823,3,2,63,Short,Short
42,Volatility (5 days),Volatility (2 days),Next 63 days,0.011317597617894748,5,2,63,Short,Short
43,Volatility (10 days),Volatility (2 days),Next 63 days,0.01472408838278838,10,2,63,Short,Short
44,Volatility (21 days),Volatility (2 days),Next 63 days,0.017051199315729626,21,2,63,Long,Short
45,Volatility (63 days),Volatility (2 days),Next 63 days,0.04334530812766424,63,2,63,Long,Short
46,Volatility (126 days),Volatility (2 days),Next 63 days,0.0321664857386299,126,2,63,Long,Short
47,Volatility (252 days),Volatility (2 days),Next 63 days,0.03640983412347598,252,2,63,Long,Short
48,Volatility (2 days),Volatility (2 days),Next 126 days,0.006910140035685686,2,2,126,Short,Short
49,Volatility (3 days),Volatility (2 days),Next 126 days,0.008779958751091499,3,2,126,Short,Short
50,Volatility (5 days),Volatility (2 days),Next 126 days,0.002683897194171614,5,2,126,Short,Short
51,Volatility (10 days),Volatility (2 days),Next 126 days,0.020910388745947195,10,2,126,Short,Short
52,Volatility (21 days),Volatility (2 days),Next 126 days,0.006828758618200759,21,2,126,Long,Short
53,Volatility (63 days),Volatility (2 days),Next 126 days,0.03126990480144176,63,2,126,Long,Short
54,Volatility (126 days),Volatility (2 days),Next 126 days,0.024768108144251677,126,2,126,Long,Short
55,Volatility (252 days),Volatility (2 days),Next 126 days,0.012976713270920648,252,2,126,Long,Short
