,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.08361038715846725,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.10237233691564462,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.1353813026677706,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.14029953736934786,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.12054156702709395,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.0878063273658709,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.06716670830246407,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.056659011736105214,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.03623065493128941,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.04878298335201503,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.07886686353245143,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.08179038381267834,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.09159174754089872,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.08114573786517543,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.06102938469962549,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.049580750218104264,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.022804407501466173,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.0515159269433596,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.07973326554286153,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.08024810648443825,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.08631905434014708,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.08725576436391691,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.08145866286627435,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.045343176659699225,252,2,5,Long,Short
