,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.11238110775391519,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.14490068577963822,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.17326857435436516,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.18938372290651717,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.1519869533569258,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.1555989481169453,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.1372796203513067,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.13379677104556276,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.05915206953370067,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.08429785591778138,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.10498941733904044,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.11479244777265674,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.1259436939337153,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.13128720597465993,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.13003106473262704,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.13371327305970482,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.06140339694268793,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.07455603319930582,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.09251309114765771,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.11485739208671131,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.1236361698638282,21,2,5,Long,Short
21,Volatility (63 days),Volatility (2 days),Next 5 days,0.12877392143625066,63,2,5,Long,Short
22,Volatility (126 days),Volatility (2 days),Next 5 days,0.13410971695225626,126,2,5,Long,Short
23,Volatility (252 days),Volatility (2 days),Next 5 days,0.12838322947052916,252,2,5,Long,Short
24,Volatility (2 days),Volatility (2 days),Next 10 days,0.03839084362946643,2,2,10,Short,Short
25,Volatility (3 days),Volatility (2 days),Next 10 days,0.06840295566738241,3,2,10,Short,Short
26,Volatility (5 days),Volatility (2 days),Next 10 days,0.08295146767658146,5,2,10,Short,Short
