,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
0,Volatility (2 days),Volatility (2 days),Next 1 days,0.0908683638124046,2,2,1,Short,Short
1,Volatility (3 days),Volatility (2 days),Next 1 days,0.1289297700725376,3,2,1,Short,Short
2,Volatility (5 days),Volatility (2 days),Next 1 days,0.14690844147370807,5,2,1,Short,Short
3,Volatility (10 days),Volatility (2 days),Next 1 days,0.14724875358081668,10,2,1,Short,Short
4,Volatility (21 days),Volatility (2 days),Next 1 days,0.13724614270616264,21,2,1,Long,Short
5,Volatility (63 days),Volatility (2 days),Next 1 days,0.10636155229239463,63,2,1,Long,Short
6,Volatility (126 days),Volatility (2 days),Next 1 days,0.09539425132613566,126,2,1,Long,Short
7,Volatility (252 days),Volatility (2 days),Next 1 days,0.09019193967521133,252,2,1,Long,Short
8,Volatility (2 days),Volatility (2 days),Next 3 days,0.042276514787879194,2,2,3,Short,Short
9,Volatility (3 days),Volatility (2 days),Next 3 days,0.05838997624433517,3,2,3,Short,Short
10,Volatility (5 days),Volatility (2 days),Next 3 days,0.08811327424139037,5,2,3,Short,Short
11,Volatility (10 days),Volatility (2 days),Next 3 days,0.10223583326575358,10,2,3,Short,Short
12,Volatility (21 days),Volatility (2 days),Next 3 days,0.1160881185901701,21,2,3,Long,Short
13,Volatility (63 days),Volatility (2 days),Next 3 days,0.08828159728402252,63,2,3,Long,Short
14,Volatility (126 days),Volatility (2 days),Next 3 days,0.07736348518657721,126,2,3,Long,Short
15,Volatility (252 days),Volatility (2 days),Next 3 days,0.08250729244475696,252,2,3,Long,Short
16,Volatility (2 days),Volatility (2 days),Next 5 days,0.030705576586795402,2,2,5,Short,Short
17,Volatility (3 days),Volatility (2 days),Next 5 days,0.05105186175572207,3,2,5,Short,Short
18,Volatility (5 days),Volatility (2 days),Next 5 days,0.07096286667070029,5,2,5,Short,Short
19,Volatility (10 days),Volatility (2 days),Next 5 days,0.08779220095308737,10,2,5,Short,Short
20,Volatility (21 days),Volatility (2 days),Next 5 days,0.09679597089082392,21,2,5,Long,Short
